Name,elevation_m,SAAR_mm,E,N
ASK,186,1136,351500,523900
OAS,165,889,357910,527500
SYH,120,850,358200,522000
SLE,212,1166,359300,519200
BLA,330,1425,363100,511700
KRT,128,776,364400,526700
SCA,183,1135,367300,514400
APM,150,896,369080,519640
ASB,250,1089,369500,512500
BRE,175,926,370100,513900
GAI,400,1346,371400,500900
SAN,150,885,372600,516100
CRO,198,1263,372800,509700
MUR,275,974,373100,522100
SYK,180,883,374700,512200
STE,380,1762,375000,501200
MUS,155,910,375700,513800
ANG,480,2083,377200,499300
AIS,360,1983,377800,496300
BRO,251,1039,380500,515500
NAT,500,1528,381000,505200
KEA,191,1124,381300,516300
WCH,505,1739,383500,519400
BEA,343,1129,384500,512100
