year,month,day,Amount_mm
1961,1,1,1
1961,1,2,14
1961,1,3,8.6
1961,1,5,7.6
1961,1,6,2.2
1961,1,7,1.7
1961,1,8,1
1961,1,10,1.4
1961,1,11,7.7
1961,1,12,1.5
1961,1,19,12.8
1961,1,20,2.1
1961,1,21,1.5
1961,1,23,1.2
1961,1,24,1
1961,1,28,5.3
1961,1,29,2.6
1961,1,31,6
1961,2,3,2.4
1961,2,4,5
1961,2,6,5.5
1961,2,8,5.6
1961,2,11,1.8
1961,2,24,2.9
1961,2,25,3.2
1961,2,26,1.3
1961,3,1,1.3
1961,3,29,9.9
1961,3,30,2.7
1961,4,1,9
1961,4,2,1.3
1961,4,4,8.6
1961,4,5,2
1961,4,9,2.5
1961,4,11,7.6
1961,4,12,6.4
1961,4,13,1
1961,4,19,3.1
1961,4,21,1
1961,4,22,5.1
1961,4,24,4.1
1961,4,27,1.3
1961,4,30,2.2
1961,5,1,6
1961,5,2,2.8
1961,5,4,21.7
1961,5,7,1.1
1961,5,18,1.1
1961,5,30,1
1961,5,31,4.5
1961,6,1,1.4
1961,6,7,1.3
1961,6,8,1.6
1961,6,10,19.5
1961,6,11,6.9
1961,6,12,5.2
1961,6,21,1.3
1961,7,1,13.3
1961,7,2,17.4
1961,7,3,1
1961,7,7,3.8
1961,7,11,1.5
1961,7,12,41.6
1961,7,14,13.5
1961,7,15,14.8
1961,7,16,1.6
1961,8,2,2.6
1961,8,3,7.4
1961,8,5,2
1961,8,7,10.1
1961,8,8,5.2
1961,8,10,8.2
1961,8,11,8.9
1961,8,20,1
1961,8,21,1.3
1961,8,22,1.5
1961,8,23,4.6
1961,9,2,10.1
1961,9,4,1.2
1961,9,5,4.9
1961,9,6,3
1961,9,9,3.1
1961,9,12,5.8
1961,9,13,4.3
1961,9,14,2.1
1961,9,26,2.1
1961,9,27,1.9
1961,9,29,6.2
1961,10,4,4.1
1961,10,5,5.1
1961,10,7,1.9
1961,10,9,4.8
1961,10,10,2.6
1961,10,16,7.1
1961,10,17,5
1961,10,18,4.8
1961,10,19,11.6
1961,10,20,8.9
1961,10,22,6.9
1961,10,23,1.6
1961,10,24,2.4
1961,10,27,9.5
1961,11,2,1.8
1961,11,4,1.7
1961,11,11,4.3
1961,11,12,2.8
1961,11,13,1.5
1961,11,22,2.6
1961,11,24,2.3
1961,11,26,3
1961,11,28,1
1961,11,29,6.5
1961,11,30,1.7
1961,12,4,6.6
1961,12,5,1.2
1961,12,8,3.2
1961,12,9,9.4
1961,12,10,7.7
1961,12,12,3.2
1961,12,13,4.9
1961,12,25,1.6
1961,12,28,2.6
1961,12,29,5.9
1961,12,30,1.3
1961,12,31,4.7
1962,1,8,1.7
1962,1,10,5.1
1962,1,11,3
1962,1,15,1.6
1962,1,16,2.4
1962,1,21,4
1962,1,22,4
1962,1,23,5.8
1962,1,24,1.9
1962,1,30,5.2
1962,2,4,1.1
1962,2,7,1.8
1962,2,8,1.9
1962,2,11,1.5
1962,2,24,1
1962,2,25,1.8
1962,2,26,4.3
1962,2,27,2.7
1962,2,28,1.9
1962,3,2,2
1962,3,3,2
1962,3,4,2.5
1962,3,8,5.4
1962,3,9,1.5
1962,3,10,2.7
1962,3,22,2.2
1962,3,25,4.9
1962,3,26,1.9
1962,3,27,1.3
1962,3,28,2.7
1962,3,29,2.3
1962,4,2,2.9
1962,4,4,5.3
1962,4,5,2.5
1962,4,6,4.6
1962,4,7,1.3
1962,4,8,1.6
1962,4,16,4.6
1962,4,17,1.2
1962,4,18,3.1
1962,4,20,2
1962,4,21,15.8
1962,5,4,1.2
1962,5,5,2.3
1962,5,7,6.9
1962,5,8,6.1
1962,5,9,4.3
1962,5,10,1.9
1962,5,15,1.7
1962,5,18,11.8
1962,5,19,7.8
1962,5,20,1.8
1962,5,22,1.6
1962,5,25,1
1962,5,26,1.2
1962,5,28,8.1
1962,6,11,1.4
1962,6,12,1.4
1962,6,15,5.4
1962,6,23,2.7
1962,6,30,1.6
1962,7,10,30.7
1962,7,14,1.3
1962,7,15,1.3
1962,7,18,2.6
1962,7,20,4.7
1962,7,22,1.3
1962,7,24,6.7
1962,7,29,2.7
1962,8,2,4.7
1962,8,3,3.5
1962,8,6,3.5
1962,8,7,1.6
1962,8,9,2
1962,8,10,8.8
1962,8,14,6.4
1962,8,15,1.5
1962,8,19,8.1
1962,8,21,2.1
1962,8,23,3.2
1962,8,26,6.8
1962,8,27,1.5
1962,9,2,3.1
1962,9,3,1.4
1962,9,4,9
1962,9,5,2
1962,9,6,1.8
1962,9,9,4.8
1962,9,10,5.1
1962,9,11,30.6
1962,9,18,2
1962,9,19,1.3
1962,9,22,5.3
1962,9,27,2.8
1962,9,29,16.4
1962,9,30,3.8
1962,10,4,1.6
1962,10,11,1.4
1962,10,25,3.3
1962,10,27,1.3
1962,10,29,4
1962,11,1,3.4
1962,11,3,1.4
1962,11,4,1.4
1962,11,5,2.4
1962,11,8,1.6
1962,11,9,1.6
1962,11,12,5.6
1962,11,16,4.4
1962,11,17,23.2
1962,11,18,6.7
1962,11,23,7
1962,12,8,6
1962,12,11,2.7
1962,12,12,7.4
1962,12,14,2.3
1962,12,15,1.4
1962,12,17,1
1962,12,19,4.6
1962,12,20,2.5
1962,12,25,3.9
1962,12,26,5.7
1962,12,27,2.8
1962,12,28,1.2
1962,12,29,3.7
1962,12,30,6.4
1962,12,31,3.3
1963,1,1,1.7
1963,1,3,10.6
1963,1,4,13.7
1963,1,5,3.9
1963,1,9,1.1
1963,1,10,4.5
1963,1,11,4.2
1963,1,12,2.7
1963,1,16,1.4
1963,1,17,1.9
1963,1,29,7.4
1963,1,30,2.6
1963,1,31,3
1963,2,1,7.9
1963,2,3,4.4
1963,2,4,1.2
1963,2,6,3.5
1963,2,7,11.7
1963,2,11,1.4
1963,2,12,4.7
1963,2,14,9.1
1963,2,15,2.1
1963,2,16,2.5
1963,2,17,6
1963,2,20,3.4
1963,2,21,1
1963,3,5,2
1963,3,6,1.2
1963,3,8,2.1
1963,3,9,2.7
1963,3,12,1.5
1963,3,13,12.2
1963,3,15,1.2
1963,3,17,1.8
1963,3,18,3
1963,3,28,2.3
1963,3,29,5.9
1963,3,30,1.3
1963,4,4,6.9
1963,4,5,8
1963,4,9,1.8
1963,4,10,2
1963,4,11,2.7
1963,4,13,1.5
1963,4,14,4.1
1963,4,16,2.1
1963,4,17,6
1963,4,19,1.3
1963,4,20,1.7
1963,4,27,2.8
1963,5,10,4.1
1963,5,11,2.1
1963,5,16,1.3
1963,5,18,2.7
1963,5,19,3.1
1963,5,20,3.6
1963,5,21,3.5
1963,5,23,1.7
1963,5,24,1.4
1963,6,4,1.4
1963,6,6,5.2
1963,6,7,3.2
1963,6,12,10
1963,6,14,2
1963,6,15,6.2
1963,6,17,7.6
1963,6,20,2.9
1963,6,22,1.4
1963,6,23,1.1
1963,6,25,18.3
1963,6,27,4.7
1963,6,28,15.4
1963,6,29,1.1
1963,6,30,8.1
1963,7,1,1.1
1963,7,2,2.6
1963,7,3,1.5
1963,7,4,5.7
1963,7,6,3.3
1963,7,10,2.9
1963,7,11,1.5
1963,7,12,4.8
1963,7,14,4.6
1963,7,16,3.5
1963,7,23,2.9
1963,7,25,1.6
1963,8,2,5.3
1963,8,3,1.7
1963,8,4,40.2
1963,8,5,4.4
1963,8,7,8.7
1963,8,8,2.6
1963,8,9,3.4
1963,8,10,13
1963,8,11,1.7
1963,8,13,2.2
1963,8,16,7.8
1963,8,17,6
1963,8,20,4
1963,8,21,1.4
1963,8,23,3.5
1963,8,24,5.1
1963,8,25,18
1963,8,26,2.1
1963,8,27,6.1
1963,8,28,1.2
1963,8,30,5.8
1963,8,31,2.7
1963,9,2,6.5
1963,9,4,5.7
1963,9,8,1.2
1963,9,9,1.4
1963,9,17,4.8
1963,9,25,13.1
1963,9,26,1.2
1963,9,28,1.5
1963,10,1,3.3
1963,10,2,6.1
1963,10,6,2.9
1963,10,7,1
1963,10,21,2.4
1963,10,22,1.5
1963,10,31,13.1
1963,11,1,4.3
1963,11,2,1.6
1963,11,3,1.6
1963,11,4,1.7
1963,11,5,3.8
1963,11,6,12
1963,11,7,14.3
1963,11,8,1.5
1963,11,9,1.8
1963,11,10,18.4
1963,11,15,6.8
1963,11,17,11.3
1963,11,18,2.3
1963,11,19,4.6
1963,11,21,9.9
1963,11,22,8.8
1963,11,23,13.5
1963,11,24,1.5
1963,11,25,2
1963,11,26,1.4
1963,11,28,7.4
1963,11,29,1.4
1963,11,30,2
1963,12,7,1.3
1963,12,13,2
1963,12,14,4.4
1963,12,15,2.3
1963,12,16,1
1963,12,17,5.3
1963,12,18,4.2
1964,1,12,2.2
1964,1,13,4.7
1964,1,14,1.4
1964,1,27,3.7
1964,1,29,1.9
1964,2,17,7.1
1964,2,18,1
1964,2,23,9.6
1964,2,24,2.6
1964,3,3,1.2
1964,3,4,5.6
1964,3,5,2
1964,3,6,2.4
1964,3,12,1.3
1964,3,13,2.3
1964,3,14,28.6
1964,3,15,2.1
1964,3,19,7.5
1964,3,20,1.2
1964,3,21,2.1
1964,3,24,19.6
1964,3,25,5
1964,3,30,2.3
1964,4,13,3.6
1964,4,15,1.1
1964,4,18,10.2
1964,4,19,9.6
1964,4,20,2.2
1964,4,21,10.4
1964,4,22,1.8
1964,4,26,2.8
1964,4,28,1.6
1964,5,2,1.4
1964,5,4,1.9
1964,5,7,2.6
1964,5,18,3.2
1964,5,21,5.4
1964,5,31,7.2
1964,6,2,6.7
1964,6,4,15
1964,6,6,7.3
1964,6,9,4.3
1964,6,12,4.3
1964,6,16,3
1964,6,17,7.2
1964,6,18,1.3
1964,6,19,2.8
1964,6,20,7.8
1964,6,26,1.8
1964,7,8,1.6
1964,7,10,1.5
1964,7,13,2
1964,7,14,1.2
1964,7,17,2.1
1964,7,18,19.9
1964,8,5,5.9
1964,8,6,14.9
1964,8,7,3.1
1964,8,8,9.9
1964,8,9,2.1
1964,8,15,3.3
1964,8,16,2.7
1964,8,17,9.5
1964,8,18,18.5
1964,8,19,2.3
1964,8,23,1.7
1964,8,24,1.7
1964,9,5,8.6
1964,9,9,1.2
1964,9,13,1.6
1964,9,14,1.1
1964,9,16,11.8
1964,9,18,3.5
1964,9,19,1.6
1964,9,20,2.5
1964,9,21,1.9
1964,9,26,1.6
1964,10,5,3.9
1964,10,6,1.4
1964,10,20,1.3
1964,10,22,1.3
1964,10,29,1.8
1964,11,6,1.1
1964,11,7,1
1964,11,11,2.4
1964,11,13,2.2
1964,11,15,1.6
1964,11,18,2
1964,11,20,1.9
1964,11,29,2
1964,11,30,3.6
1964,12,2,1
1964,12,5,2.1
1964,12,7,6.3
1964,12,8,5
1964,12,12,10.4
1964,12,13,1.4
1964,12,17,1.1
1964,12,19,3.6
1964,12,21,2.3
1964,12,24,1.6
1964,12,29,8.4
1964,12,30,2.2
1964,12,31,1.9
1965,1,6,2.1
1965,1,7,1
1965,1,8,1.2
1965,1,9,6.2
1965,1,13,7
1965,1,14,2
1965,1,15,1
1965,1,16,8.8
1965,1,17,3.3
1965,1,20,1.1
1965,1,23,4.4
1965,1,25,3.9
1965,1,26,6.3
1965,1,27,9.7
1965,1,28,2
1965,2,6,1
1965,2,16,2
1965,2,18,2.2
1965,2,19,1.2
1965,2,21,1
1965,2,23,1.7
1965,2,25,1.5
1965,2,28,8.5
1965,3,5,2.4
1965,3,7,1.6
1965,3,8,1.3
1965,3,15,1
1965,3,20,1.4
1965,3,22,14.3
1965,3,23,21.5
1965,3,24,4.3
1965,3,25,6.9
1965,3,26,1.7
1965,4,5,2.1
1965,4,6,1.5
1965,4,7,1.5
1965,4,8,5.4
1965,4,9,9.2
1965,4,10,2
1965,4,11,1.8
1965,4,14,5.8
1965,4,17,2.8
1965,4,19,5.3
1965,4,25,1.9
1965,4,26,7.6
1965,4,27,5.7
1965,4,28,4.3
1965,5,2,3
1965,5,3,4.1
1965,5,4,1.2
1965,5,6,4.6
1965,5,7,2.2
1965,5,8,2.5
1965,5,16,24.4
1965,5,17,12.9
1965,5,18,1.9
1965,5,23,1.9
1965,5,24,2.1
1965,5,25,1.7
1965,5,26,2.3
1965,5,30,1.9
1965,6,6,5.2
1965,6,7,1.8
1965,6,11,1
1965,6,12,2.4
1965,6,14,2.7
1965,6,17,2
1965,6,20,3.8
1965,6,21,10.9
1965,6,25,1.3
1965,7,3,1.1
1965,7,4,1
1965,7,8,1.3
1965,7,9,2.6
1965,7,10,3.4
1965,7,11,1.8
1965,7,12,18.8
1965,7,13,5.5
1965,7,21,1.6
1965,7,22,2.8
1965,7,24,4.5
1965,7,27,4.8
1965,7,28,11.4
1965,7,29,13.4
1965,7,31,2.1
1965,8,2,7.7
1965,8,4,10.9
1965,8,6,1.1
1965,8,7,3.4
1965,8,14,6.5
1965,8,15,8.5
1965,8,17,1.1
1965,8,20,3.8
1965,8,21,4.6
1965,8,24,8.4
1965,8,29,1.1
1965,8,30,1.4
1965,8,31,1.1
1965,9,3,29.6
1965,9,4,2.8
1965,9,6,12.6
1965,9,7,2.3
1965,9,8,1
1965,9,10,5
1965,9,15,10.8
1965,9,17,16.9
1965,9,23,1.9
1965,9,25,8.3
1965,9,26,2.4
1965,9,28,20.3
1965,9,29,11.3
1965,9,30,14.3
1965,10,1,14.4
1965,10,7,1
1965,10,14,3.3
1965,10,30,4.4
1965,10,31,9.7
1965,11,1,6.6
1965,11,6,1.2
1965,11,7,3.9
1965,11,11,3.9
1965,11,12,6.3
1965,11,13,3.2
1965,11,14,5.2
1965,11,15,2.4
1965,11,16,2.4
1965,11,17,27.4
1965,11,18,16.1
1965,11,19,25.1
1965,11,20,4.9
1965,11,21,1.6
1965,11,22,2.3
1965,11,23,4
1965,11,24,2.1
1965,11,25,10.5
1965,11,26,15.6
1965,11,27,1.1
1965,11,28,5.2
1965,11,29,5.6
1965,12,1,4
1965,12,2,1.9
1965,12,4,1.3
1965,12,8,1.8
1965,12,9,8.5
1965,12,14,3
1965,12,15,1.6
1965,12,17,2.2
1965,12,22,8.2
1965,12,23,1.1
1965,12,24,3.1
1965,12,25,2
1965,12,29,2.4
1965,12,31,7.2
1966,1,1,2
1966,1,2,1.6
1966,1,4,5.2
1966,1,12,1.2
1966,1,13,2.8
1966,1,14,2.9
1966,1,15,5.3
1966,1,16,1.4
1966,1,21,1.6
1966,1,22,4.5
1966,1,25,2.3
1966,1,26,5
1966,1,27,6
1966,1,28,1
1966,2,3,2.1
1966,2,4,3.8
1966,2,6,1
1966,2,7,20.9
1966,2,8,10.6
1966,2,9,3.4
1966,2,10,1.7
1966,2,12,3.8
1966,2,13,2.3
1966,2,18,7
1966,2,19,7.3
1966,2,20,3
1966,2,22,2.2
1966,2,24,6.6
1966,2,25,3.2
1966,2,26,2
1966,3,1,1.4
