day,month,year,flow_m3_s
1,1,1970,29.36
2,1,1970,28.88
3,1,1970,27.99
4,1,1970,23.61
5,1,1970,21.95
6,1,1970,21.07
7,1,1970,16.51
8,1,1970,23.65
9,1,1970,25
10,1,1970,111.8
11,1,1970,109.6
12,1,1970,107.8
13,1,1970,88.29
14,1,1970,73.43
15,1,1970,73.08
16,1,1970,68.41
17,1,1970,55.65
18,1,1970,117.9
19,1,1970,94.22
20,1,1970,117.1
21,1,1970,131.5
22,1,1970,173.1
23,1,1970,106.2
24,1,1970,87.06
25,1,1970,101.6
26,1,1970,73.91
27,1,1970,61.55
28,1,1970,51.82
29,1,1970,45.81
30,1,1970,42.1
31,1,1970,37.37
1,2,1970,50.26
2,2,1970,159.1
3,2,1970,77.78
4,2,1970,58.55
5,2,1970,47.29
6,2,1970,39.41
7,2,1970,46.24
8,2,1970,52.27
9,2,1970,48.34
10,2,1970,42.22
11,2,1970,35.05
12,2,1970,31.8
13,2,1970,28.82
14,2,1970,26.63
15,2,1970,24.65
16,2,1970,23.57
17,2,1970,23.62
18,2,1970,27.13
19,2,1970,142.9
20,2,1970,209.1
21,2,1970,242.7
22,2,1970,214.2
23,2,1970,114.7
24,2,1970,77.16
25,2,1970,58.68
26,2,1970,48.95
27,2,1970,42.43
28,2,1970,38.47
1,3,1970,36.73
2,3,1970,38.74
3,3,1970,32.26
4,3,1970,29.61
5,3,1970,27.13
6,3,1970,25.62
7,3,1970,24.32
8,3,1970,24.07
9,3,1970,24.6
10,3,1970,25.26
11,3,1970,41.26
12,3,1970,41.66
13,3,1970,43.24
14,3,1970,33.12
15,3,1970,31.28
16,3,1970,35.1
17,3,1970,48.01
18,3,1970,44.47
19,3,1970,36.53
20,3,1970,45.57
21,3,1970,45.89
22,3,1970,56.64
23,3,1970,39
24,3,1970,32.21
25,3,1970,29.09
26,3,1970,27.81
27,3,1970,26.4
28,3,1970,24.64
29,3,1970,25.77
30,3,1970,58.18
31,3,1970,58.01
1,4,1970,38.6
2,4,1970,33.81
3,4,1970,42.85
4,4,1970,51.95
5,4,1970,62.55
6,4,1970,79.72
7,4,1970,51.34
8,4,1970,42.18
9,4,1970,40.38
10,4,1970,42.42
11,4,1970,37.86
12,4,1970,35.39
13,4,1970,45.26
14,4,1970,40.75
15,4,1970,56.52
16,4,1970,67.29
17,4,1970,66.7
18,4,1970,51.4
19,4,1970,44.57
20,4,1970,39.33
21,4,1970,48.06
22,4,1970,206.5
23,4,1970,260.2
24,4,1970,99.17
25,4,1970,77.13
26,4,1970,68.62
27,4,1970,52.12
28,4,1970,46.15
29,4,1970,49.02
30,4,1970,41.11
1,5,1970,38.24
2,5,1970,40.3
3,5,1970,36.14
4,5,1970,31.07
5,5,1970,26.38
6,5,1970,25.24
7,5,1970,24.63
8,5,1970,24.63
9,5,1970,23.97
10,5,1970,23.34
11,5,1970,22.13
12,5,1970,20.06
13,5,1970,19.19
14,5,1970,20.49
15,5,1970,21.22
16,5,1970,20.06
17,5,1970,18.91
18,5,1970,18.77
19,5,1970,18.77
20,5,1970,17.03
21,5,1970,15.56
22,5,1970,15.82
23,5,1970,15.82
24,5,1970,15.18
25,5,1970,14.43
26,5,1970,14.18
27,5,1970,14.06
28,5,1970,13.7
29,5,1970,13.58
30,5,1970,13.58
31,5,1970,13.46
1,6,1970,13.22
2,6,1970,12.53
3,6,1970,12.29
4,6,1970,12.64
5,6,1970,12.75
6,6,1970,12.75
7,6,1970,12.41
8,6,1970,11.62
9,6,1970,10.75
10,6,1970,9.906
11,6,1970,12.09
12,6,1970,13.77
13,6,1970,11.62
14,6,1970,10.74
15,6,1970,9.991
16,6,1970,9.451
17,6,1970,9.144
18,6,1970,8.945
19,6,1970,8.728
20,6,1970,8.706
21,6,1970,8.609
22,6,1970,8.664
23,6,1970,9.313
24,6,1970,10.04
25,6,1970,10.45
26,6,1970,10.12
27,6,1970,10.42
28,6,1970,16.23
29,6,1970,20.76
30,6,1970,25.38
1,7,1970,22.9
2,7,1970,21.59
3,7,1970,22.59
4,7,1970,19.36
5,7,1970,17.52
6,7,1970,16.01
7,7,1970,15.1
8,7,1970,17.78
9,7,1970,38.58
10,7,1970,23.36
11,7,1970,19.06
12,7,1970,17.35
13,7,1970,21.29
14,7,1970,22.18
15,7,1970,21.29
16,7,1970,17.18
17,7,1970,14.9
18,7,1970,13.96
19,7,1970,15.49
20,7,1970,18.2
21,7,1970,21.48
22,7,1970,19.29
23,7,1970,32.54
24,7,1970,50.97
25,7,1970,59.99
26,7,1970,40.47
27,7,1970,35.94
28,7,1970,71.72
29,7,1970,41.8
30,7,1970,29.49
31,7,1970,24.64
1,8,1970,23.84
2,8,1970,21.36
3,8,1970,19.14
4,8,1970,17.18
5,8,1970,15.89
6,8,1970,14.88
7,8,1970,14.07
8,8,1970,13.69
9,8,1970,13.27
10,8,1970,17.9
11,8,1970,15.19
12,8,1970,13.3
13,8,1970,13.96
14,8,1970,16.59
15,8,1970,14.11
16,8,1970,49.55
17,8,1970,46.09
18,8,1970,27.83
19,8,1970,21.74
20,8,1970,34.75
21,8,1970,79.88
22,8,1970,57.21
23,8,1970,39.47
24,8,1970,31.04
25,8,1970,25.58
26,8,1970,22.7
27,8,1970,20.49
28,8,1970,18.84
29,8,1970,17.55
30,8,1970,16.76
31,8,1970,24.2
1,9,1970,27.61
2,9,1970,26.98
3,9,1970,45.88
4,9,1970,29.29
5,9,1970,24.76
6,9,1970,22.06
7,9,1970,20.29
8,9,1970,23.15
9,9,1970,44.22
10,9,1970,198.9
11,9,1970,132.4
12,9,1970,94.2
13,9,1970,63.46
14,9,1970,57.37
15,9,1970,46.36
16,9,1970,40.78
17,9,1970,136.7
18,9,1970,116.8
19,9,1970,86.19
20,9,1970,68.9
21,9,1970,53.77
22,9,1970,42.39
23,9,1970,36.36
24,9,1970,31.57
25,9,1970,27.91
26,9,1970,25.1
27,9,1970,23.06
28,9,1970,21.39
29,9,1970,20.61
30,9,1970,22
1,10,1970,29.69
2,10,1970,51.32
3,10,1970,34.97
4,10,1970,32.99
5,10,1970,78.92
6,10,1970,70.66
7,10,1970,92.76
8,10,1970,64.8
9,10,1970,44.91
10,10,1970,37.06
11,10,1970,32.38
12,10,1970,30.01
13,10,1970,27.4
14,10,1970,24.9
15,10,1970,23.04
16,10,1970,21.5
17,10,1970,20.28
18,10,1970,19.96
19,10,1970,20.47
20,10,1970,20.05
21,10,1970,17.74
22,10,1970,16.51
23,10,1970,15.94
24,10,1970,22.39
25,10,1970,133.8
26,10,1970,63.74
27,10,1970,48.54
28,10,1970,69.99
29,10,1970,98.18
30,10,1970,275
31,10,1970,266.2
1,11,1970,167.5
2,11,1970,118.8
3,11,1970,200.5
4,11,1970,123.2
5,11,1970,119.3
6,11,1970,77.71
7,11,1970,61.57
8,11,1970,54.93
9,11,1970,53.03
10,11,1970,44.05
11,11,1970,106.2
12,11,1970,81.1
13,11,1970,75.1
14,11,1970,67.01
15,11,1970,50.51
16,11,1970,45.06
17,11,1970,57.31
18,11,1970,97.01
19,11,1970,108.6
20,11,1970,75.8
21,11,1970,106.7
22,11,1970,91.25
23,11,1970,292.4
24,11,1970,316.6
25,11,1970,133.4
26,11,1970,97.88
27,11,1970,91.4
28,11,1970,100.3
29,11,1970,115.3
30,11,1970,132.7
1,12,1970,89.74
2,12,1970,91.42
3,12,1970,111.3
4,12,1970,77.36
5,12,1970,74.17
6,12,1970,95.31
7,12,1970,73.89
8,12,1970,57.34
9,12,1970,49.88
10,12,1970,44.91
11,12,1970,40.88
12,12,1970,38.19
13,12,1970,35.53
14,12,1970,32.71
15,12,1970,30.64
16,12,1970,29.64
17,12,1970,41.66
18,12,1970,37.87
19,12,1970,48.35
20,12,1970,67.69
21,12,1970,46.26
22,12,1970,38.06
23,12,1970,35.21
24,12,1970,35.48
25,12,1970,33.8
26,12,1970,35.02
27,12,1970,34.98
28,12,1970,33.69
29,12,1970,38.99
30,12,1970,39.7
31,12,1970,30.23
1,1,1971,26.08
2,1,1971,24.98
3,1,1971,22.97
4,1,1971,21.59
5,1,1971,20.24
6,1,1971,22.79
7,1,1971,205.4
8,1,1971,91.09
9,1,1971,93.12
10,1,1971,62.06
11,1,1971,47.31
12,1,1971,40.75
13,1,1971,36.18
14,1,1971,33.15
15,1,1971,31.75
16,1,1971,29.68
17,1,1971,28.04
18,1,1971,27.58
