Time,Cond
14:31:00,0.0412
14:31:02,0.0411
14:31:04,0.0411
14:31:06,0.0408
14:31:08,0.0411
14:31:10,0.041
14:31:12,0.0409
14:31:14,0.0409
14:31:16,0.0409
14:31:18,0.0409
14:31:20,0.0408
14:31:22,0.0408
14:31:24,0.0407
14:31:26,0.0409
14:31:28,0.0411
14:31:30,0.0411
14:31:32,0.041
14:31:34,0.0413
14:31:36,0.0411
14:31:38,0.0409
14:31:40,0.0409
14:31:42,0.0406
14:31:44,0.0407
14:31:46,0.0408
14:31:48,0.0411
14:31:50,0.0412
14:31:52,0.0409
14:31:54,0.041
14:31:56,0.0408
14:31:58,0.0408
14:32:00,0.0409
14:32:02,0.0408
14:32:04,0.0407
14:32:06,0.0409
14:32:08,0.0409
14:32:10,0.041
14:32:12,0.0408
14:32:14,0.0409
14:32:16,0.0411
14:32:18,0.0408
14:32:20,0.041
14:32:22,0.0408
14:32:24,0.0408
14:32:26,0.041
14:32:28,0.0411
14:32:30,0.0411
14:32:32,0.0411
14:32:34,0.041
14:32:36,0.0409
14:32:38,0.041
14:32:40,0.041
14:32:42,0.0411
14:32:44,0.0411
14:32:46,0.041
14:32:48,0.0412
14:32:50,0.0409
14:32:52,0.041
14:32:54,0.041
14:32:56,0.0407
14:32:58,0.0408
14:33:00,0.0409
14:33:02,0.041
14:33:04,0.041
14:33:06,0.041
14:33:08,0.0412
14:33:10,0.041
14:33:12,0.041
14:33:14,0.0412
14:33:16,0.0413
14:33:18,0.041
14:33:20,0.0412
14:33:22,0.0409
14:33:24,0.0407
14:33:26,0.0408
14:33:28,0.0409
14:33:30,0.0408
14:33:32,0.0409
14:33:34,0.0408
14:33:36,0.0408
14:33:38,0.0408
14:33:40,0.0409
14:33:42,0.041
14:33:44,0.041
14:33:46,0.0412
14:33:48,0.0414
14:33:50,0.0415
14:33:52,0.0416
14:33:54,0.0416
14:33:56,0.042
14:33:58,0.0423
14:34:00,0.0426
14:34:02,0.0433
14:34:04,0.0436
14:34:06,0.0446
14:34:08,0.0455
14:34:10,0.046
14:34:12,0.047
14:34:14,0.0478
14:34:16,0.0494
14:34:18,0.0527
14:34:20,0.0549
14:34:22,0.0574
14:34:24,0.0594
14:34:26,0.0636
14:34:28,0.066
14:34:30,0.0686
14:34:32,0.0738
14:34:34,0.0811
14:34:36,0.0833
14:34:38,0.0887
14:34:40,0.0937
14:34:42,0.1067
